Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Gabi,2022-07-25 16:18:39,00:13:33,,Peaky Blinders: Season 6: Gold (Episode 3),,Netflix Windows App - Cadmium Windows Mobile,00:14:32,00:14:32,SK (Slovakia)
Gabi,2022-07-25 16:16:32,00:00:51,Autoplayed: user action: None; ,Season 1 Plot Clip: Farzar,HOOK,Netflix Windows App - Cadmium Windows Mobile,00:00:00,00:00:00,SK (Slovakia)
Gabi,2022-07-24 13:31:23,00:37:59,,Peaky Blinders: Season 6: Black Shirt (Episode 2),,DefaultWidevineAndroidPhone,00:58:03,00:58:03,SK (Slovakia)
Gabi,2022-07-24 12:50:37,00:20:04,,Peaky Blinders: Season 6: Black Shirt (Episode 2),,DefaultWidevineAndroidPhone,00:20:05,Not latest view,SK (Slovakia)
Gabi,2022-07-24 12:33:57,00:12:06,,Peaky Blinders: Season 6: Black Day (Episode 1),,DefaultWidevineAndroidPhone,00:54:10,00:54:10,SK (Slovakia)
Gabi,2022-07-24 12:05:33,00:17:17,,How to Change Your Mind: Limited Series: Chapter 1: LSD (Episode 1),,Netflix Windows App - Cadmium Windows Mobile,00:17:17,00:17:17,SK (Slovakia)
Gabi,2022-07-24 12:00:35,00:01:13,Autoplayed: user action: None; ,Teaser 2: Persuasion,TEASER_TRAILER,Netflix Windows App - Cadmium Windows Mobile,00:00:00,00:00:00,SK (Slovakia)
Gabi,2022-07-23 16:27:19,00:00:57,Autoplayed: user action: None; ,Supporting Character Clip: The Gray Man,HOOK,Netflix Windows App - Cadmium Windows Mobile,00:00:00,00:00:00,SK (Slovakia)
Gabi,2022-07-11 00:11:26,00:02:08,,Trailer: Bad Trip,TRAILER,DefaultWidevineAndroidPhone,00:02:08,00:02:08,CZ (Czech Republic)
Gabi,2022-07-10 17:56:54,00:58:00,,Pete Davidson Presents: The Best Friends,,DefaultWidevineAndroidPhone,00:58:00,00:58:00,CZ (Czech Republic)
Gabi,2022-07-09 12:49:17,00:17:07,,Peaky Blinders: Season 6: Black Day (Episode 1),,DefaultWidevineAndroidPhone,00:16:33,Not latest view,CZ (Czech Republic)
Gabi,2022-07-09 07:00:19,00:00:06,,Teaser: The Most Hated Man on the Internet,TEASER_TRAILER,DefaultWidevineAndroidPhone,00:00:06,00:00:06,CZ (Czech Republic)
Gabi,2022-07-09 06:59:41,00:00:37,,Season 1 Teaser: Uncoupled,TEASER_TRAILER,DefaultWidevineAndroidPhone,00:00:37,00:00:37,CZ (Czech Republic)
